pcputimes(user=9772.234375, system=575.328125, children_user=0.0, children_system=0.0),5.978396662466772,<bound method Process.cpu_percent of psutil.Process(pid=27104, name='java.exe', status='running', started='15:14:18')>
pcputimes(user=9804.59375, system=575.484375, children_user=0.0, children_system=0.0),5.9090183551713285,<bound method Process.cpu_percent of psutil.Process(pid=27104, name='java.exe', status='running', started='15:14:18')>
pcputimes(user=9836.890625, system=575.78125, children_user=0.0, children_system=0.0),5.9090183551713285,<bound method Process.cpu_percent of psutil.Process(pid=27104, name='java.exe', status='running', started='15:14:18')>
pcputimes(user=9844.09375, system=577.0625, children_user=0.0, children_system=0.0),5.910861974526032,<bound method Process.cpu_percent of psutil.Process(pid=27104, name='java.exe', status='running', started='15:14:18')>
pcputimes(user=9869.828125, system=578.9375, children_user=0.0, children_system=0.0),5.912171914593848,<bound method Process.cpu_percent of psutil.Process(pid=27104, name='java.exe', status='running', started='15:14:18')>
pcputimes(user=9903.234375, system=579.0625, children_user=0.0, children_system=0.0),5.912171914593848,<bound method Process.cpu_percent of psutil.Process(pid=27104, name='java.exe', status='running', started='15:14:18')>
pio(read_count=854338, write_count=903019, read_bytes=3232441752, write_bytes=5078752371, other_count=9128485, other_bytes=113484271),5.897835348296083,433.4
pio(read_count=854338, write_count=905286, read_bytes=3232441752, write_bytes=5094690443, other_count=9155750, other_bytes=113861954),5.882916586412622,655.1
pio(read_count=856607, write_count=911836, read_bytes=3245278208, write_bytes=5142522854, other_count=9178803, other_bytes=114141215),5.878525861370498,610.8
pio(read_count=857014, write_count=912352, read_bytes=3248487923, write_bytes=5145547239, other_count=9189068, other_bytes=114282160),5.879860059587718,360.9
pio(read_count=858374, write_count=918493, read_bytes=3255295544, write_bytes=5190689159, other_count=9214960, other_bytes=114626619),5.884784463916731,683.5
pio(read_count=858374, write_count=921006, read_bytes=3255295544, write_bytes=5209765672, other_count=9218064, other_bytes=114632959),5.885002787261366,147.6
pio(read_count=859926, write_count=925108, read_bytes=3264919006, write_bytes=5238963710, other_count=9256240, other_bytes=115023584),5.884711689468518,663.2
pio(read_count=859926, write_count=925329, read_bytes=3264919006, write_bytes=5240160171, other_count=9257660, other_bytes=115057110),5.884711689468518,536.7
pio(read_count=859926, write_count=927355, read_bytes=3264919006, write_bytes=5254608297, other_count=9262803, other_bytes=115066482),5.885196852456598,115.6
pio(read_count=859926, write_count=931190, read_bytes=3264919006, write_bytes=5284807362, other_count=9266362, other_bytes=115104184),5.967504753384375,344.5
pio(read_count=861503, write_count=931849, read_bytes=3274895931, write_bytes=5287711951, other_count=9285142, other_bytes=115389177),5.884396333526267,604.4
pio(read_count=861503, write_count=931880, read_bytes=3274895931, write_bytes=5287720574, other_count=9286463, other_bytes=115422487),5.884396333526267,571.9
pio(read_count=861503, write_count=932665, read_bytes=3274895931, write_bytes=5293606445, other_count=9287677, other_bytes=115438315),5.884080977584015,609.0
pio(read_count=861503, write_count=935807, read_bytes=3274895931, write_bytes=5316561866, other_count=9293708, other_bytes=115448259),5.8841052357334185,109.3
